run      occupancy_U        crosstalk 
 
-------------------------
11449    0.279087    0.162176
11451    0.237205    0.11438
11456    0.193598    0.050026
11494    0.117608    0.0259012
11562    0.217408    0.0819775
11580    0.20054    0.0557781
11595    0.222097    0.0496875
11997    0.210526    0.0145081
12001    0.212072    0.0113406
12013    0.243356    0.018378
12030    0.209168    0.0466517
12050    0.200603    0.0441196
12060    0.277269    0.0424616
12073    0.27878    0.0423356
12342    0.243893    0.027781
12423    0.180484    0.0264957
12424    0.245038    0.0287451
12425    0.245375    0.0181147
12550    0.29481    0.0226038
12620    0.297213    0.0325914
12662    0.295859    0.0409276
12728    0.287497    0.0518247
13060    0.269897    0.0351249
13309    0.212023    0.06068
13325    0.256669    0.0590007
13344    0.257255    0.0683353
13370    0.248788    0.0951239
13400    0.251899    0.0947184
13454    0.169116    0.242475
13474    0.216958    0.294679
13505    0.228998    0.279281
13554    0.223839    0.28701
13560    0.231607    0.275147
13615    0.161364    0.523273
13620    0.160325    0.534051
13660    0.0451682    0.116573
13661    0.123132    0.20307
13664    0.130328    0.204737
13666    0.131979    0.171311
13680    0.194785    0.163227
13685    0.192474    0.189677
13732    0.195448    0.2492
13770    0.208471    0.242154
13799    0.216388    0.240063
